steed#n. 马，骏马#sti:d
disengaged#adj. 空闲的，无公务在身的#
fledged#adj. 羽毛长成的，成熟的#fledVd
full-fledged#adj. 羽毛丰满的，成熟的#
jagged#adj. 锯齿状的，不整齐的#
ragged#adj. 破烂的，（表面）凹凸不平的 #5rAgid
logged#adj. 笨重的，湿透的#lCgd
prolonged#adj. 长时期的#prE5lCNd
detached#adj. 分开的、超然公平的#di5tAtFt
drenched#adj. 湿透的#
entrenched#adj. (权力，风俗等)确立的，确定的 #
notched#adj. 有凹口的，有缺口的#
poohed#adj. 疲倦的#pu:d
shed#v. 流出（眼泪），脱落（叶子）#Fed
unabashed#adj. 不畏惧的，不害躁的#QnE5bAFt
famished#adj. 非常饥饿的#5fAmiFt
anguished#adj. 很痛苦的#5ANgwiFt
distinguished#adj. 著名的，卓越的#dis5tiNgwiFt
watershed#n. 分水岭，流域#
bushed#adj. 疲倦的，迷路的#5buFt
unscathed#adj. 未受损伤的，未遭伤害的 #Qn5skeiTd
full-bodied#adj. （味道等）浓郁而强烈的#
disembodied#adj. 无实体的、空洞的#5disim5bCdid
unstudied#adj. 不造作的，优雅的#5Qn5stQdid
dandified#adj. 打扮得像花花公子的#5dAndEfBid
fitified#adj. 反复无常的#
pied#adj. 杂色的#pBid
preoccupied#adj. 心事重重的，出神的#pri5CkjupBid
serried#adj. (队伍等)拥挤密集的#5serid
soaked#adj. 湿透的#
whacked#adj. 精疲力尽的#hwAkt
packed#adj. 充满人的，拥挤的#pAkt
henpecked#adj. 顺从妻子的，惧内的#5henpekt
landlocked#adj. 被陆地包围的#
hooked#adj. 钩形的，着迷的#hukt
crooked#adj. 弯曲的，扭曲的#5krukid
unprovoked#adj. (生气等)无缘无故的#QnprE5voukt
addled#adj. 头脑混乱的#
brindled#adj. 有斑纹的#5brindld
bedraggled#adj. (衣服、头发等)弄湿的，凌乱不堪的 #bi5drAgld
shopsoiled#adj. 残破的，陈旧的#
dishevelled#adj. 散乱的，蓬散的#
unexampled#adj. 空前的#Qnig5zAmpld
dappled#adj. 有斑点的，斑驳的#5dApld
gnarled#adj. (树木)多节的，粗糙的#
snarled#adj. 纠缠不清的#
